"","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"22","America","Steely-Dan","Stevie-Wonder","Paul-Anka-with-Odia-Coates","Eric-Carmen","Barbra-Streisand","Bob-Seger-The-Silver-Bullet-Band","Rod-Stewart","Boz-Scaggs","Rick-Springfield","The-Charlie-Daniels-Band","The-Kinks","Chicago","Madonna","John-Mellencamp","Cutting-Crew","Foreigner","Cinderella","Glenn-Medeiros-Featuring-Bobby-Brown","LL-Cool-J","Def-Leppard","Stereo-MC-s","Richard-Marx","Jon-B-Featuring-Babyface","Jodeci","Tony-Toni-Tone","Jon-B","Brandy","Lonestar","S-Club-7","The-Calling","Kelly-Clarkson","Gretchen-Wilson","Weezer","James-Blunt","R-Kelly-Or-Bow-Wow-Featuring-T-I-T-Pain","David-Cook","Lady-Gaga","Lady-Gaga-Featuring-Beyonce","Tinie-Tempah-Featuring-Eric-Turner","Luke-Bryan","Tim-McGraw-With-Taylor-Swift","Idina-Menzel","Little-Big-Town","Future-Featuring-The-Weeknd","Childish-Gambino","Kane-Brown","Daddy-Yankee-Katy-Perry-Featuring-Snow","6ix9ine","The-Weeknd"
"23","Elton-John","Vicki-Lawrence","Chicago","Seals-Crofts","The-Brothers-Johnson","Peter-Mccann","Atlanta-Rhythm-Section","Roger-Voudouris","Christopher-Cross","Don-McLean","Aldo-Nova","Champaign","Slade","Murray-Head","Falco","The-System","INXS","Simply-Red","Depeche-Mode","Jesus-Jones","Wilson-Phillips","Snow","Beck","Annie-Lennox","Coolio","White-Town","Janet","98-Degrees","Jay-Z-Featuring-UGK","N-Sync","Jennifer-Lopez-Featuring-Ja-Rule","Jaheim","The-Black-Eyed-Peas","Green-Day","Kelly-Clarkson","Ne-Yo","Chris-Brown","Soulja-Boy-Tell-em-Featuring-Sammie","Sean-Kingston-Justin-Bieber","OneRepublic","Drake-Featuring-Lil-Wayne","Taylor-Swift","Florida-Georgia-Line-Ft-Jason-Derulo-Luke-Bryan","Taylor-Swift","Florida-Georgia-Line","French-Montana-Featuring-Swae-Lee","Post-Malone-Featuring-21-Savage","Meek-Mill-Featuring-Drake","Roddy-Ricch-Featuring-Mustard","Maroon-5-Featuring-Megan-Thee-Stallion"
"24","Harry-Chapin","The-Sweet","The-DeFranco-Family-ring-Tony-DeFranco","Disco-Tex-The-Sex-O-Lettes","Rhythm-Heritage","Kenny-Nolan","The-Trammps","Cheap-Trick","Andy-Gibb-Olivia-Newton-John","Lee-Ritenour","38-Special","Little-River-Band","Eurythmics","REO-Speedwagon","The-Fabulous-Thunderbirds","Company-B","Midnight-Oil","Elvis-Costello","Billy-Idol","Salt-N-Pepa","Jon-Secada","Joey-Lawrence","Crash-Test-Dummies","Raphael-Saadiq","R-Kelly-Featuring-Ronald-Isley","Toni-Braxton","LeAnn-Rimes","Busta-Rhymes-Featuring-Janet","Nelly","Shaggy-Featuring-Rayvon","Linkin-Park","Frankie-J","John-Michael-Montgomery","Nelly-Featuring-Jung-Tru-King-Jacob","Yung-Joc","Akon","Flo-Rida-Featuring-T-Pain","David-Cook","Michael-Buble","Blake-Shelton","Kanye-West-Big-Sean-Pusha-T-2-Chainz","Drake","American-Authors","Rihanna","Sia-Featuring-Sean-Paul","Drake","Maroon-5","benny-blanco-Halsey-Khalid","Surfaces","Olivia-Rodrigo"
"25","Creedence-Clearwater-Revival","Carly-Simon","The-Main-Ingredient","Tavares","Electric-Light-Orchestra","The-Sylvers","Heart","Electric-Light-Orchestra","Neil-Sedaka-Dara-Sedaka","Sheena-Easton","Donnie-Iris","The-Police","ZZ-Top","Til-Tuesday","The-Outfield","Madonna","White-Lion","Roachford","Calloway","UB40","Color-Me-Badd","Captain-Hollywood-Project","Celine-Dion","Soul-For-Real","Quad-City-DJ-s","Robyn","Master-P-Feat-Fiend-Silkk-The-Shocker-Mia-X-Mystikal","Lenny-Kravitz","Goo-Goo-Dolls","Brooks-Dunn","Big-Tymers","Floetry","Lloyd-Banks","Brooke-Valentine-Featuring-Lil-Jon-Big-Boi","Dem-Franchize-Boyz-Featuring-Lil-Peanut-Charlay","Diddy-Featuring-Keyshia-Cole","OneRepublic","Soulja-Boy-Tell-em","Ke-ha","Kelly-Rowland-Featuring-Lil-Wayne","David-Guetta-Featuring-Sia","Emeli-Sande","MKTO","Silento","Kent-Jones","Shawn-Mendes","Camila-Cabello-Featuring-Young-Thug","Ariana-Grande","Jack-Harlow-Featuring-DaBaby-Tory-Lanez-Lil-Wayne","Lil-Tjay-Featuring-6LACK"
"26","Joe-Tex","Jim-Croce","Elton-John","The-Temptations","Peter-Frampton","Andy-Gibb","Michael-Johnson","England-Dan-John-Ford-Coley","The-Clash","Phil-Collins","Franke-The-Knockouts","Madness","The-Cars","Whitney-Houston","Phil-Collins","Tom-Petty-And-The-Heartbreakers","The-Deele","Bon-Jovi","Expose","Gerardo","Amy-Grant","Duice","General-Public","Hootie-The-Blowfish","Total","Bruce-Springsteen","Luke-Featuring-No-Good-But-So-Good","Silk","Carl-Thomas","Kenny-Chesney","Ja-Rule-Featuring-Charli-Chuck-Baltimore","Tyrese","Britney-Spears","Howie-Day","Ne-Yo","Mims","Mariah-Carey","Lady-Gaga-Featuring-Colby-O-Donis","Glee-Cast-Featuring-Neil-Patrick-Harris","Lady-Antebellum","Adele","Zach-Sobiech","OneRepublic","Luke-Bryan","Adele","Halsey","Lil-Dicky-Featuring-Chris-Brown","Lizzo","Powfu-Featuring-beabadoobee","J-Cole-Lil-Baby"
"27","Millie-Jackson","Loggins-Messina","MFSB-Featuring-The-Three-Degrees","Carly-Simon","The-Manhattans","Dean-Friedman","Seals-Crofts","Blondie","The-Manhattans","Elton-John","Simon-Garfunkel","Bee-Gees","Van-Stephenson","The-Power-Station","The-Moody-Blues","Poison","The-Church","Expose","Louie-Louie","Marc-Cohn","Jodeci","Jon-Secada","Collective-Soul","Madonna","Color-Me-Badd","R-Kelly","The-Lox-Featuring-DMX-Lil-Kim","Smash-Mouth","Santana-Featuring-Rob-Thomas","Tim-McGraw","Brandy","Toby-Keith-Duet-With-Willie-Nelson","3-Doors-Down","Green-Day","Christina-Milian-Featuring-Young-Jeezy","Plain-White-T-s","John-Mayer","Jason-Mraz","Alicia-Keys","Jason-Aldean","Carrie-Underwood","Justin-Timberlake-Featuring-JAY-Z","5-Seconds-Of-Summer","OMI","James-Bay","Selena-Gomez","Rich-The-Kid","Polo-G-Featuring-Lil-Tjay","StaySolidRocky","Saweetie-Featuring-Doja-Cat"
"28","The-Stylistics-Featuring-Russell-Thompkins-Jr","The-Independents","Mac-Davis","Ozark-Mountain-Daredevils","Bad-Company","Daryl-Hall-John-Oates","Barry-Manilow","Donna-Summer","The-Whispers","Quincy-Jones","Loverboy","Debarge","Rod-Stewart","Cyndi-Lauper","Bob-Seger","David-Bowie","Pet-Shop-Boys","Benny-Mardones","Snap","Sheena-Easton","Richard-Marx","Shai","Celine-Dion","Da-Brat","Junior-M-A-F-I-A-Featuring-The-Notorious-B-I-G","Spice-Girls","Third-Eye-Blind","Monica","BBMak","Lee-Ann-Womack","Sheryl-Crow","Lonestar","Avril-Lavigne","Gorillaz","Mary-J-Blige","Ciara","David-Cook","The-All-American-Rejects","Miranda-Lambert","P-nk","Kirko-Bangz","Zedd-Featuring-Foxes","Coldplay","Nick-Jonas","Drake-Featuring-The-Throne","Migos-Featuring-Lil-Uzi-Vert","Taylor-Swift","A-Boogie-Wit-da-Hoodie","Blake-Shelton-Duet-With-Gwen-Stefani","Cardi-B"
"29","The-Moody-Blues","Ohio-Players","Gladys-Knight-And-The-Pips","Gladys-Knight-And-The-Pips","Bay-City-Rollers","Yvonne-Elliman","Donna-Summer","Van-Halen","Pink-Floyd","Santana","Soft-Cell","Def-Leppard","The-Style-Council","USA-For-Africa","Van-Halen","Expose","Rod-Stewart","The-Doobie-Brothers","Tyler-Collins","Roxette","Lionel-Richie","Ice-Cube","Mariah-Carey","Stevie-B","Everything-But-The-Girl","Babyface","Gloria-Estefan","George-Strait","Savage-Garden","Moby-Featuring-Gwen-Stefani","Nickelback","Eminem","Kanye-West","Baby-Bash-Featuring-Akon","Rascal-Flatts","Gym-Class-Heroes-Featuring-Patrick-Stump","Chris-Brown","T-I-Featuring-Justin-Timberlake","Adam-Lambert","Beyonce","Kip-Moore","Lil-Wayne-Featuring-Drake-Future","Disclosure-Featuring-Sam-Smith","Trey-Songz","Ruth-B","Calvin-Harris-Featuring-Frank-Ocean-Migos","The-Weeknd-Kendrick-Lamar","Halsey","Carly-Pearce-Lee-Brice","Olivia-Rodrigo"
"30","Paul-Simon","Bloodstone","The-Spinners","Eddie-Kendricks","Steve-Miller","Maynard-Ferguson","Barry-White","John-Stewart","Pat-Benatar","Christopher-Cross","Sheena-Easton","Jim-Capaldi","Christine-McVie","John-Cafferty-The-Beaver-Brown-Band","Thirty-Eight-Special","Crowded-House","Orchestral-Manoeuvres-In-The-Dark","Aretha-Franklin-Elton-John","Michel-le","Styx","Mariah-Carey","Bon-Jovi","Heavy-D-The-Boyz","Van-Halen","Michael-Jackson","En-Vogue","Paula-Cole","Steve-Wariner","Alice-Deejay","Sunshine-Anderson","Dirty-Vegas","Jewel","OutKast-Featuring-Sleepy-Brown","Lifehouse","Kelis-Featuring-Too-hort","T-I","Colbie-Caillat","Kelly-Clarkson","Jamie-Foxx-Featuring-Justin-Timberlake-T-I","The-Script","Jason-Mraz","Anna-Kendrick","Naughty-Boy-Featuring-Sam-Smith","Rachel-Platten","twenty-one-pilots","Ed-Sheeran","Post-Malone","Mustard-Migos","Lewis-Capaldi","Giveon"
"31","Neil-Young","Alice-Cooper","Eddie-Kendricks","Ray-Stevens","Starbuck","Peter-Frampton","Yvonne-Elliman","Barbara-Mandrell","Bernadette-Peters","Daryl-Hall-John-Oates","Ronnie-Milsap","Toto","Wang-Chung","Paul-Young","Robert-Palmer","Bob-Seger","Richard-Marx","Stevie-Nicks","Slaughter","Lisa-Fischer","The-Cover-Girls","Naughty-By-Nature","Salt-N-Pepa-Featuring-En-Vogue","Sheryl-Crow","Robert-Miles","U2","Faith-Hill","Andy-Griggs","Chad-Brock","Madonna","Alan-Jackson","Randy-Travis","Switchfoot","50-Cent","Panic-At-The-Disco","Bow-Wow-Featuring-T-Pain-Johnta-Austin","Usher-Featuring-Beyonce-Lil-Wayne","The-Fray","Glee-Cast-Featuring-Idina-Menzel","Rascal-Flatts","Rihanna-Featuring-Chris-Brown","Chris-Brown","Sam-Smith","Maroon-5","Jeremih","Ayo-Teo","Dua-Lipa","City-Girls","Camila-Cabello-Featuring-DaBaby","SpotemGottem-Featuring-Pooh-Shiesty-Or-DaBaby"
"32","Frederick-Knight","War","The-Doobie-Brothers","Van-McCoy-The-Soul-City-Symphony","Thin-Lizzy","Glen-Campbell","Bee-Gees","Alton-McClain-Destiny","Photoglo","Pure-Prairie-League","Kansas","Rod-Stewart","Thompson-Twins","Debarge","Peter-Gabriel","Paul-Simon","Robert-Plant","Madonna","Rod-Stewart-With-Ronald-Isley","Crystal-Waters","Lidell-Townsell","Tasmin-Archer","Domino","Rednex","Monifah","Dru-Hill","Puff-Daddy-The-Family-Featuring-The-Notorious-B-I-G-Busta-Rh","Whitney-Houston","Westlife","Jessica-Simpson","Aaliyah","Jennifer-Lopez","Five-For-Fighting","Ciara-Featuring-Missy-Elliott","Cascada","Baby-Boy-Da-Prince-Featuring-Lil-Boosie","Rihanna","Kelly-Clarkson","The-Black-Eyed-Peas","Kanye-West","Usher","Wale-Featuring-Tiara-Thomas-Or-Rihanna","Lorde","Taylor-Swift","Kevin-Gates","The-Chainsmokers-Featuring-Halsey","Calvin-Harris-Dua-Lipa","Travis-Scott","The-Weeknd","Mooski"
"33","Cher","Perry-Como","Earth-Wind-Fire","Smokey-Robinson","Starland-Vocal-Band","Rufus-Featuring-Chaka-Khan","Jimmy-Buffett","Dr-Hook","The-Manhattan-Transfer","Jefferson-Starship","Alabama","Christopher-Cross","Howard-Jones","Night-Ranger","Janet-Jackson","Bruce-Hornsby-The-Range","Jane-Wiedlin","Martika","The-B-52s","Michael-W-Smith","Howard-Jones","Snow","The-B-C-52-s","Collective-Soul","No-Doubt","Sheryl-Crow","LeAnn-Rimes","matchbox-20","DMX","Lenny-Kravitz","Goo-Goo-Dolls","Bone-Crusher-Featuring-Killer-Mike-T-I","Jessica-Simpson","Papa-Roach","T-I","Enrique-Iglesias","Duffy","Kristinia-DeBarge","Kevin-Rudolf-Featuring-Birdman-Jay-Sean-Lil-Wayne","Glee-Cast","Tyga-Featuring-Lil-Wayne","Lana-Del-Rey","Trey-Songz","Major-Lazer-DJ-Snake-Featuring-MO","Justin-Bieber","Jason-Derulo-Featuring-Nicki-Minaj-Ty-Dolla-ign","Nicki-Minaj","Khalid","Travis-Denning","Polo-G-Lil-Wayne"
"34","Andy-Williams","The-J-Geils-Band","Redbone","Boomer-Castleman","Seals-Crofts-Featuring-Carolyn-Willis","John-Miles","Rod-Stewart","Nigel-Olsson","Rocky-Burnette","Jim-Photoglo","The-Motels","INXS","Scorpions","The-Beach-Boys","Kenny-Loggins","Eddie-Money","Breathe","The-Bangles","Nikki","Steelheart","Tom-Cochrane","George-Michael-Queen","Erasure","Bon-Jovi","Natalie-Merchant","Bee-Gees","Usher","Shania-Twain","Nine-Days","matchbox-twenty","George-Strait","Diamond-Rio","Nickelback","Cassidy","Bon-Jovi","Daughtry","Rick-Ross-Featuring-T-Pain","Taylor-Swift","3OH-3-Featuring-Ke-ha","New-Boyz-Featuring-The-Cataracs-Dev","Jennifer-Lopez-Featuring-Pitbull","The-Lumineers","OneRepublic","Taylor-Swift","Drake-Featuring-Rihanna","Kodak-Black","Luke-Combs","Ed-Sheeran-Featuring-Chance-The-Rapper-PnB-Rock","Dua-Lipa","DJ-Khaled-Featuring-Lil-Baby-Lil-Durk"
"35","David-Cassidy","Gladys-Knight-And-The-Pips","The-Hollies","Wings","Heart","ABBA","Genesis","McFadden-Whitehead","Frank-Sinatra","Jesse-Winchester","Foreigner","Bob-Seger-The-Silver-Bullet-Band","Jefferson-Starship","Alison-Moyet","GTR","Billy-Idol","Times-Two","Rod-Stewart","Whistle","Surface","Linear","R-Kelly-Public-Announcement","Melissa-Etheridge","Des-ree","The-Smashing-Pumpkins","Kenny-Lattimore","Mase-Featuring-Total","Backstreet-Boys","Avant","Ja-Rule-Featuring-Lil-Mo-Vita","Steve-Azar","Rascal-Flatts","Sheryl-Crow","System-Of-A-Down","Gnarls-Barkley","Elliott-Yamin","Metro-Station","Green-Day","Lady-Gaga","Selena-Gomez-The-Scene","Katy-Perry","Avril-Lavigne","Pitbull-Featuring-Ke-ha","George-Ezra","Meghan-Trainor","Charlie-Puth","Khalid-Normani","Cardi-B-Bruno-Mars","Billie-Eilish","24kGoldn-Featuring-iann-dior"
"36","Wayne-Newton","The-Stylistics","James-Brown","Bad-Company","Billy-Ocean","Helen-Reddy","Celebration-ring-Mike-Love","Peter-Frampton","Barry-Manilow","The-Who","Eddie-Rabbitt","Ronnie-Milsap","Prince","Kim-Carnes","The-Dream-Academy","Pseudo-Echo","Icehouse","Cher-Peter-Cetera","Brent-Bourgeois","The-Triplets","Paula-Abdul","Jeremy-Jordan","Bruce-Springsteen","The-Notorious-B-I-G","BoDeans","702","Celine-Dion","Sarah-McLachlan","Faith-Hill","Lonestar","Enrique-Iglesias","Amanda-Perez","Beenie-Man-Featuring-Ms-Thing","Frankie-J-Featuring-Baby-Bash","Mary-J-Blige-Featuring-Brook-Lyn","DJ-Khaled-Featuring-T-I-Akon-Rick-Ross-Fat-Joe-Lil-Wayne-Baby","David-Archuleta","Britney-Spears","Trey-Songz-Featuring-Fabolous","Lady-Gaga","Rihanna-Featuring-Calvin-Harris","Bruno-Mars","Pitbull-Featuring-G-R-L","Sia","Blake-Shelton","Travis-Scott","Casper-Magico-Nio-Garcia-Darell-Nicky-Jam-Ozuna-Bad-Bunny","Kane-Brown","Maroon-5","Moneybagg-Yo"
"37","Graham-Nash-David-Crosby","Barbara-Fairchild","Ozark-Mountain-Daredevils","Tony-Camillo-s-Bazuka","Cate-Bros","Rita-Coolidge","The-Rolling-Stones","ABBA","Ray-Parker-Jr-Raydio","Sheena-Easton","Patrice-Rushen","Kenny-Rogers","Icicle-Works","Bruce-Springsteen","Genesis","Restless-Heart","J-J-Fad","Michael-Morales","Michael-Bolton","Londonbeat","Bonnie-Raitt","UB40","M-C-Hammer","Kut-Klose","Jars-Of-Clay","Celine-Dion","Sylk-E-Fyne-Featuring-Chill","Collin-Raye","Andy-Griggs","OutKast","N-Sync-Featuring-Nelly","Coldplay","Pitbull-Featuring-Lil-Jon","Keith-Urban","The-Pussycat-Dolls-Featuring-Snoop-Dogg","Unk","Miley-Cyrus","Kris-Allen","Timbaland-Featuring-Justin-Timberlake","Katy-Perry","Jason-Aldean","Jason-Derulo","Jake-Owen","Sawyer-Fredericks","O-T-Genasis-Featuring-Young-Dolph","Migos","Dan-Shay","Lady-Gaga-Bradley-Cooper","Sam-Hunt","Glass-Animals"
"38","Michael-Jackson","Charlie-Rich","Steely-Dan","Bachman-Turner-Overdrive","Boz-Scaggs","Waylon-Jennings","Rufus-Chaka-Khan","Jay-Ferguson","The-J-Geils-Band","The-Alan-Parsons-Project","Dionne-Warwick-Johnny-Mathis","Alabama","Dan-Hartman","Mick-Jagger","Simple-Minds","Europe","Bardeux","Thirty-Eight-Special","Salt-N-Pepa","Tara-Kemp","Shanice","New-Order","Meat-Loaf","Real-McCoy","Busta-Rhymes","Depeche-Mode","Playa","Britney-Spears","Vitamin-C","Musiq-Soulchild","Emerson-Drive","Audioslave","Dido","Kelly-Clarkson","Kenny-Chesney","Crime-Mob-Featuring-Lil-Scrappy","Gavin-DeGraw","Zac-Brown-Band","Justin-Bieber-Featuring-Ludacris","Jessie-J-Featuring-B-o-B","Adele","Rocko-Featuring-Future-Rick-Ross","Brantley-Gilbert","Britney-Spears-Iggy-Azalea","Fat-Joe-Remy-Ma-Jay-Z-Featuring-French-Montana-Infared","Bruno-Mars","Selena-Gomez","Calboy","Gunna-Featuring-Young-Thug","Pooh-Shiesty-Featuring-Lil-Durk"
"39","Little-Jimmy-Osmond-with-The-Mike-Curb-Congregation","Bette-Midler","Melba-Montgomery","Tanya-Tucker","The-Trammps","Pablo-Cruise","Eric-Clapton","Raydio","Spider","Billy-The-Beaters","Cheri","Chris-de-Burgh","Rick-Springfield","Supertramp","Tears-For-Fears","Partland-Brothers","Boz-Scaggs","Warrant","Elton-John","Voices-That-Care","Atlantic-Starr","4-Non-Blondes","Toni-Braxton","TLC","Jewel","Gina-G","Lord-Tariq-Peter-Gunz","Dave-Hollister","Mary-Mary","Dream","Avant","Aaliyah","Toby-Keith","112-Featuring-Foxy-Brown","Dixie-Chicks","Nickelback","Brad-Paisley","Brad-Paisley","DJ-Khaled-Featuring-T-Pain-Ludacris-Snoop-Dogg-Rick-Ross","Taylor-Swift","LMFAO-Featuring-Lauren-Bennett-GoonRock","Kendrick-Lamar","Miranda-Lambert-Duet-With-Carrie-Underwood","Nicki-Minaj-Featuring-Beyonce","Beyonce","Rae-Sremmurd","Bruno-Mars-Cardi-B","Luke-Combs","Marshmello-Halsey","Machine-Gun-Kelly-X-blackbear"
"40","The-Supremes","Raspberries","Blue-Magic","Elvis-Presley","Paul-Simon","Alice-Cooper","Eruption","The-Beach-Boys","Billy-Preston-Syreeta","The-Oak-Ridge-Boys","Karla-Bonoff","A-Flock-Of-Seagulls","Styx","Air-Supply","Models","T-Pau","Sade","Real-Life","Mellow-Man-Ace","David-A-Stewart-Introducing-Candy-Dulfer","Das-EFX","Run-D-M-C","Bonnie-Raitt","Brandy","LL-Cool-J","Various-Artists","Wyclef-Jean","Ja-Rule","Clay-Walker","Travis-Tritt","Brad-Paisley","Lil-Mo-Featuring-Fabolous","Linkin-Park","Mario","Tim-McGraw","Hinder","2-Pistols-Featuring-T-Pain-Tay-Dizm","Nickelback","Mike-Posner","Glee-Cast","Neon-Trees","Florida-Georgia-Line","Avicii","Ariana-Grande","Ghost-Town-DJ-s","Luke-Combs","The-Weeknd","Panic-At-The-Disco","Thomas-Rhett-Featuring-Jon-Pardi","Eric-Church"
"41","War","Edward-Bear","Four-Tops","War","Rufus-Featuring-Chaka-Khan","England-Dan-John-Ford-Coley","Chic","New-England","Rupert-Holmes","Cliff-Richard","Stevie-Nicks","After-The-Fire","The-Cars","Luther-Vandross","The-Rolling-Stones","Lionel-Richie","Eric-Carmen","Madonna","Faster-Pussycat","Celine-Dion","Kathy-Troccoli","Boy-Krazy","Aaron-Hall","Adam-Ant","Joe","Luscious-Jackson","Usher","Jesse-Powell","Donell-Jones","Staind","Jaheim-Featuring-Next","Chris-Cagle","Montgomery-Gentry","Gwen-Stefani-Featuring-Eve","Teddy-Geiger","The-Red-Jumpsuit-Apparatus","Lil-Wayne","P-nk","Shontelle","Hot-Chelle-Rae","Ca-h-Out","Luke-Bryan","Kid-Ink-Featuring-Chris-Brown","Sam-Hunt","Meghan-Trainor","Clean-Bandit-Featuring-Sean-Paul-Anne-Marie","Kendrick-Lamar-SZA","Lee-Brice","Gunna-Featuring-Roddy-Ricch","J-Cole"
"42","Cornelius-Brothers-Sister-Rose","The-Rolling-Stones","Gladys-Knight-And-The-Pips","Herbie-Mann","America","Boston","Rare-Earth","KISS","Joe-Walsh","Rosanne-Cash","Rainbow","Donna-Summer","Thompson-Twins","Tom-Petty-And-The-Heartbreakers","The-Bangles","Psychedelic-Furs","Nu-Shooz","Debbie-Gibson","Basia","Riff","Mint-Condition","Sting","M-People","TLC","La-Bouche","Foxy-Brown-Featuring-Jay-Z","Tamia","Fatboy-Slim","Jagged-Edge","Gary-Allan","B2K","Keith-Urban","Lonestar","Amerie","Shawnna","Lil-Boosie-Featuring-Foxx-Webbie","David-Cook","Rob-Thomas","Timbaland-Featuring-Katy-Perry","Lady-Gaga","LMFAO","Ed-Sheeran","Imagine-Dragons","Bandit-Gang-Marco-Featuring-Dro","Bryson-Tiller","Liam-Payne-Featuring-Quavo","Jason-Aldean","Billie-Eilish","Black-Eyed-Peas-X-J-Balvin","Gabby-Barrett"
"43","James-Brown","Gunhill-Road","The-Righteous-Brothers","Tony-Orlando-Dawn","John-Travolta","Tavares","Jimmy-Bo-Horne","The-Kinks","Bobby-Caldwell","Marty-Balin","Huey-Lewis-The-News","Greg-Kihn-Band","Rockwell","Graham-Parker-The-Shot","Van-Halen","Crowded-House","Van-Halen","Love-And-Rockets","Aerosmith","Kane-Roberts","The-Cure","Tag-Team","Da-Brat","Melissa-Etheridge","Collective-Soul","Brownstone","Imajin-Featuring-Keith-Murray","Jay-Z-Featuring-Amil-Of-Major-Coinz-Ja","Backstreet-Boys","Ja-Rule-Featuring-Lil-Mo","Nickelback","Jimmy-Wayne","Los-Lonely-Boys","R-Kelly","Chris-Daughtry","Brad-Paisley","The-Dream","Sugarland","The-Black-Eyed-Peas","Brad-Paisley-Featuring-Alabama","Demi-Lovato","Ace-Hood-Featuring-Future-Rick-Ross","Christina-Perri","Blake-Shelton","DJ-Snake-Featuring-Bipolar-Sunshine","Lauren-Duski","XXXTENTACION","DJ-Khaled-Featuring-Cardi-B-21-Savage","blackbear","Pop-Smoke"
"44","Derek-The-Dominos","Seals-Crofts","Bill-Haley-And-His-Comets","Frankie-Valli","Cyndi-Grecco","Carpenters","Billy-Joel","Roxy-Music","The-Temptations","Joey-Scarbury","Shalamar","Duran-Duran","Go-Go-s","Sting","Prince-And-The-Revolution","Klymaxx","Terence-Trent-D-Arby","Bon-Jovi","Alannah-Myles","The-Rebel-Pebbles","Keith-Sweat","Whitney-Houston","Babyface","Brownstone","Immature","Billy-Lawrence-Featuring-MC-Lyte","Beenie-Man","Martina-McBride","Collin-Raye","Erick-Sermon-Featuring-Marvin-Gaye","Toby-Keith","Da-Brat-Featuring-Cherish","JoJo","Gavin-DeGraw","Dierks-Bentley","Nelly-Furtado","Alicia-Keys","Charice","OneRepublic","Miguel","Gloriana","Bruno-Mars","Beyonce","Rich-Homie-Quan","Tim-McGraw","Maroon-5-Featuring-Future","Offset-Metro-Boomin","Thomas-Rhett","BENEE-Featuring-Gus-Dapperton","Kali-Uchis"
"45","Joe-Tex","Deep-Purple","The-Hues-Corporation","The-O-Jays","Parliament","Shalamar","Frankie-Valli","Liquid-Gold","Carole-King","Stanley-Clarke-George-Duke","Stevie-Wonder","George-Benson","The-Alan-Parsons-Project","Patti-LaBelle","The-Blow-Monkeys","The-Nylons","Aerosmith","Paul-McCartney","Sweet-Sensation","LaTour","Jody-Watley","Ugly-Kid-Joe","Aerosmith","Firehouse","Crucial-Conflict","Richard-Marx","Link","Lila-McCann","Third-Eye-Blind","Jagged-Edge-With-Nelly","Nas","Santana-Featuring-Michelle-Branch","Jet","Destiny-s-Child","Cherish-Featuring-Sean-Paul-Of-The-YoungBloodZ","Tank","Daughtry","Lady-Antebellum","Usher-Featuring-Plies","Zac-Brown-Band-Featuring-Jimmy-Buffett","Flo-Rida","Lil-Wayne-Featuring-2-Chainz","Michael-Jackson","Big-Sean-Featuring-Drake","Drake","Alessia-Cara","A-AP-Rocky-Featuring-Skepta","Luke-Combs","Harry-Styles","Ariana-Grande"
"46","Jr-Walker-The-All-Stars","Jeanne-Pruett","Eagles","Dwight-Twilley-Band","Queen","T-Connection","Love-And-Kisses","Poco","James-Last-Band","Eric-Clapton-And-His-Band","Heart","Eurythmics","Rick-Springfield","Animotion","Rod-Stewart","Motley-Crue","D-J-Jazzy-Jeff-The-Fresh-Prince","Lisa-Lisa-And-Cult-Jam","L-A-Guns","Rick-Astley","Genesis","Kenny-G-With-Peabo-Bryson","Gin-Blossoms","Real-McCoy","Delinquent-Habits","Nine-Inch-Nails","Billie-Myers","Lauryn-Hill","Next","Backstreet-Boys","Tommy-Shane-Steiner","Joe-Budden","Rascal-Flatts","Alicia-Keys","Ashley-Parker-Angel","Taylor-Swift","Trace-Adkins","Dierks-Bentley","Nickelback","Luke-Bryan","Eli-Young-Band","PSY","Miranda-Lambert","Pitbull-Ne-Yo","Charlie-Puth","Katy-Perry-Featuring-Nicki-Minaj","6ix9ine-Featuring-DJ-SPINKING","Dan-Shay","NLE-Choppa-Featuring-Roddy-Ricch","Drake-Featuring-Lil-Baby"
"47","Stevie-Wonder","The-New-Birth","Cher","Ron-Banks-And-The-Dramatics","Paul-Davis","Bette-Midler","Tuxedo-Junction","Gerry-Rafferty","Blondie","The-Manhattan-Transfer","Kool-The-Gang","Stevie-Nicks","Ollie-And-Jerry","Tina-Turner","Starship","Gloria-Estefan-Miami-Sound-Machine","E-U","The-Belle-Stars","Jane-Child","Nelson","Prince-And-The-N-P-G","Boy-George","Arrested-Development","R-E-M","112-Featuring-The-Notorious-B-I-G","Blessid-Union-Of-Souls","Elton-John","Eagle-Eye-Cherry","Backstreet-Boys","Sara-Evans","Celine-Dion","Darryl-Worley","Kenny-Chesney-Uncle-Kracker","Usher","Daddy-Yankee","Billy-Currington","David-Cook","Taylor-Swift","Jaron-And-The-Long-Road-To-Love","Chris-Brown","David-Guetta-Featuring-Nicki-Minaj","Maroon-5","Nicki-Minaj","Meghan-Trainor","Thomas-Rhett","Camila-Cabello","Juice-WRLD","Lil-Baby","Luke-Bryan","Sam-Hunt"
