"","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"12","Carpenters","Dobie-Gray","Jim-Stafford","The-Captain-Tennille","Elvin-Bishop","Joe-Tex","Sweet","G-Q","Michael-Jackson","Champaign","Deniece-Williams","Journey","Phil-Collins","Phil-Collins","Culture-Club","Glenn-Medeiros","Prince","Milli-Vanilli","Digital-Underground","Queensryche","Billy-Ray-Cyrus","Dr-Dre","Jon-Secada","Dr-Dre","Jann-Arden","Monica","Public-Announcement","Jordan-Knight","Joe","Train","Cam-Ron-Featuring-Juelz-Santana","matchbox-twenty","OutKast","Bobby-Valentino","Rihanna","Carrie-Underwood","Jesse-McCartney","Sean-Kingston","Jay-Z-Mr-Hudson","Lupe-Fiasco","Train","Macklemore-Ryan-Lewis-Featuring-Wanz","Calvin-Harris","Andy-Grammer","Zayn","James-Arthur","BlocBoy-JB-Featuring-Drake","Young-Thug-J-Cole-Travis-Scott","Harry-Styles","Olivia-Rodrigo"
"13","The-Jimmy-Castor-Bunch","George-Harrison","Cat-Stevens","Earth-Wind-Fire","Andrea-True-Connection","The-Steve-Miller-Band","Peter-Brown-With-Betty-Wright","Wings","Robbie-Dupree","Climax-Blues-Band","Elton-John","Daryl-Hall-John-Oates","Van-Halen","Sade","Mr-Mister","Smokey-Robinson","Cheap-Trick","Waterfront","Perfect-Gentlemen","Cathy-Dennis","Vanessa-Williams","Jade","R-Kelly","Total-Featuring-The-Notorious-B-I-G","La-Bouche","Paula-Cole","Montell-Jordan-Feat-Master-P-Silkk-The-Shocker","Backstreet-Boys","Creed","City-High","Default","Beyonce-Featuring-Jay-Z","J-Kwon","Backstreet-Boys","T-I","Bone-Thugs-N-Harmony-Featuring-Akon","Mariah-Carey","Keri-Hilson-Featuring-Kanye-West-Ne-Yo","Lady-Antebellum","Chris-Brown-Featuring-Lil-Wayne-Busta-Rhymes","Usher","Ariana-Grande-Featuring-Mac-Miller","Ed-Sheeran","Tove-Lo","Zara-Larsson-MNEK","Post-Malone-Featuring-Quavo","Marshmello-Anne-Marie","Halsey","Maren-Morris","Lil-Nas-X"
"14","Love-Unlimited","Billy-Preston","Grand-Funk","Joe-Simon","The-Sylvers","The-Marshall-Tucker-Band","Roberta-Flack-With-Donny-Hathaway","Bad-Company","Pretenders","Gary-U-S-Bonds","Little-River-Band","Prince","Bruce-Springsteen","Glenn-Frey","Howard-Jones","Huey-Lewis-The-News","Cher","Donna-Summer","En-Vogue","Rod-Stewart","Genesis","Paperboy","Tevin-Campbell","2Pac","Gin-Blossoms","Meredith-Brooks","Sarah-McLachlan","Cher","Destiny-s-Child","Eve-Featuring-Gwen-Stefani","No-Doubt","Kid-Rock-Featuring-Sheryl-Crow-Or-Allison-Moorer","D12","3-Doors-Down","Field-Mob-Featuring-Ciara","P-nk","Plies-Featuring-Ne-Yo","3OH-3","La-Roux","Nicki-Minaj","Pitbull","Demi-Lovato","Michael-Jackson","Meghan-Trainor","DNCE","Sam-Hunt","Migos-Featuring-Drake","Ariana-Grande","SAINt-JHN","Olivia-Rodrigo"
"15","Bread","The-Spinners","Olivia-Newton-John","Alice-Cooper","Maxine-Nightingale","Eagles","Heatwave","Rex-Smith","The-Spinners","Styx","Daryl-Hall-John-Oates","Sergio-Mendes","Culture-Club","Duran-Duran","Heart","Kenny-Loggins","Brenda-K-Starr","Fine-Young-Cannibals","Phil-Collins","Huey-Lewis-The-News","Eric-Clapton","Expose","R-Kelly","Real-McCoy","Hootie-The-Blowfish","Puff-Daddy-Featuring-Mase","N-Sync","Whitney-Houston-Feat-Faith-Evans-Kelly-Price","P-nk","Faith-Hill","P-nk","Monica","JAY-Z","Ying-Yang-Twins","Bubba-Sparxxx-Featuring-Ying-Yang-Twins-Mr-ColliPark","Jordin-Sparks","David-Cook","Miley-Cyrus","Jason-Derulo","Wiz-Khalifa","Kelly-Clarkson","Darius-Rucker","MAGIC","Omarion-Featuring-Chris-Brown-Jhene-Aiko","Nick-Jonas-Featuring-Tove-Lo","Imagine-Dragons","Juice-WRLD","Shawn-Mendes","Ariana-Grande-Justin-Bieber","Olivia-Rodrigo"
"16","Todd-Rundgren","Skylark","Three-Dog-Night","Carpenters","Neil-Sedaka","Leo-Sayer","Carly-Simon","Styx","Dr-Hook","Dottie-West-with-Kenny-Rogers","Roberta-Flack","The-Tubes","Julio-Iglesias-And-Willie-Nelson","Survivor","Simply-Red","Bryan-Adams","Lita-Ford","Howard-Jones","Partners-In-Kryme","The-Rude-Boys","Queen","Whitney-Houston","Lisa-Loeb-Nine-Stories","Diana-King","Monica","112","Madonna","Will-Smith-Featuring-Dru-Hill-Kool-Mo-Dee","Red-Hot-Chili-Peppers","Nelly-Furtado","Jennifer-Lopez-Featuring-Nas","R-Kelly-Featuring-Big-Tigger","Evanescence","Pretty-Ricky","Chris-Brown-Featuring-Lil-Wayne","Fergie-Featuring-Ludacris","Colby-O-Donis-Featuring-Akon","Kris-Allen","Travie-McCoy-Featuring-Bruno-Mars","Rihanna-Featuring-Britney-Spears","Karmin","Blake-Shelton-Featuring-Pistol-Annies-Friends","Michael-Jackson-Justin-Timberlake","Ed-Sheeran","P-nk","KYLE-Featuring-Lil-Yachty","Camila-Cabello","Marshmello-Bastille","Lil-Mosey","The-Kid-LAROI"
"17","Al-Green","Paul-Simon","Kool-The-Gang","Michael-Murphey","Barry-Manilow","Eagles","Meat-Loaf","Village-People","The-Brothers-Johnson","John-Lennon","Queen","Kajagoogoo","Joe-Jackson","Prince-And-The-Revolution","Boys-Don-t-Cry","Kenny-G","Poison","John-Mellencamp","Taylor-Dayne","Another-Bad-Creation","Ugly-Kid-Joe","Dr-Dre","Tim-McGraw","Jamie-Walters","Whitney-Houston-CeCe-Winans","Freak-Nasty","Busta-Rhymes","112-Featuring-Lil-z","Christina-Aguilera","Lil-Mo-Featuring-Fabolous","Mary-J-Blige-Featuring-Ja-Rule","Ashanti","Nina-Sky-Featuring-Jabba","Akon","Natasha-Bedingfield","Fall-Out-Boy","3-Doors-Down","Flo-Rida-Featuring-Wynter","The-Script","Jeremih-Featuring-50-Cent","Ellie-Goulding","Fall-Out-Boy","Katy-Perry","Fifth-Harmony-Featuring-Kid-Ink","Justin-Bieber","Harry-Styles","Ed-Sheeran","Morgan-Wallen","THE-SCOTTS-Travis-Scott-Kid-Cudi","Polo-G"
"18","Commander-Cody-His-Lost-Planet-Airmen","Stealers-Wheel","Carpenters","Harold-Melvin-And-The-Blue-Notes","Gary-Wright","Barry-Manilow","Patti-Smith-Group","The-Doobie-Brothers","Jermaine-Jackson","Juice-Newton","Juice-Newton","Elton-John","Billy-Idol","Limahl","El-DeBarge","Jody-Watley","Al-B-Sure","Natalie-Cole","Richard-Marx","C-C-Music-Factory-F-Williams","U2","Aerosmith","SWV","Blues-Traveler","MC-Lyte-Featuring-Xscape","Duncan-Sheik","Will-Smith","Tim-McGraw","matchbox-twenty","Jennifer-Lopez","Chad-Kroeger-Featuring-Josey-Scott","Uncle-Kracker-Featuring-Dobie-Gray","Lil-Flip","50-Cent-Featuring-Olivia","Nick-Lachey","Blake-Lewis","Timbaland-Featuring-OneRepublic","Shinedown","Ludacris-Featuring-Nicki-Minaj","Jason-Derulo","Calvin-Harris","Pitbull-Featuring-Christina-Aguilera","Luke-Bryan","DJ-Snake-AlunaGeorge","twenty-one-pilots","Miley-Cyrus","Imagine-Dragons","J-Cole","Morgan-Wallen","Olivia-Rodrigo"
"19","The-Pipes-And-Drums-And-The-Military-Band-Of-The-Royal-Scots-Dragoon-Guards","Three-Dog-Night","Aretha-Franklin","The-Doobie-Brothers","Brass-Construction","Jimmy-Buffett","Steely-Dan","Earth-Wind-Fire-with-The-Emotions","Air-Supply","Daryl-Hall-John-Oates","Dazz-Band","Michael-Jackson","Mike-Reno-And-Ann-Wilson","David-Lee-Roth","Janet-Jackson","Chicago","Gloria-Estefan-Miami-Sound-Machine","Jody-Watley","Jude-Cole","Amy-Grant","Luther-Vandross-And-Janet-Jackson-With-BBD-And-Ralph-Tresvant","Spin-Doctors","Joshua-Kadison","Soul-For-Real","Los-Del-Rio","Toni-Braxton","Destiny-s-Child","Everlast","N-Sync","Incubus","Busta-Rhymes-Featuring-P-Diddy-Pharrell","Snoop-Dogg-Featuring-Pharrell-Uncle-Charlie-Wilson","Juvenile-Featuring-Soulja-Slim","The-Pussycat-Dolls-Featuring-Busta-Rhymes","Nickelback","Gwen-Stefani-Featuring-Akon","Carrie-Underwood","Adam-Lambert","Drake","Ke-ha","Eric-Church","will-i-am-Featuring-Justin-Bieber","Bastille","Natalie-La-Rose-Featuring-Jeremih","Flo-Rida","Brett-Young","Drake","Panic-At-The-Disco","Gabby-Barrett-Featuring-Charlie-Puth","Olivia-Rodrigo"
"20","Bill-Withers","New-York-City","Anne-Murray","Pilot","Marvin-Gaye","Shaun-Cassidy","The-O-Jays","David-Naughton","Pure-Prairie-League","Air-Supply","John-Cougar","Laura-Branigan","Shalamar","Eurythmics","Pet-Shop-Boys","Heart","Pebbles","Cyndi-Lauper","Giant","Firehouse","Bryan-Adams","Green-Jelly","Mariah-Carey","Martin-Page","Case-Featuring-Foxxy-Brown","B-Rock-The-Bizz","Master-P-Featuring-Sons-Of-Funk","Goo-Goo-Dolls","N-Sync","Joe-Featuring-Mystikal","Musiq","Christina-Aguilera","Sean-Paul-Featuring-Sasha","Trick-Daddy-Featuring-Ludacris-Lil-Kim-Cee-Lo","KT-Tunstall","Linkin-Park","Sara-Bareilles","Keith-Urban","Drake","Lauren-Alaina","Katy-Perry","Mariah-Carey-Featuring-Miguel","Chris-Brown-Featuring-Lil-Wayne-French-Montana-Or-Too-hort-Or-Tyga","Skrillex-Diplo-With-Justin-Bieber","G-Eazy-x-Bebe-Rexha","Kendrick-Lamar","Bazzi","Blake-Shelton","Luke-Combs-Featuring-Eric-Church","Luke-Combs"
"21","Jackson-5","Elvis-Presley","Carly-Simon","Roger-Whittaker","The-Doobie-Brothers","Addrisi-Brothers","Robert-Palmer","Foxy","Bruce-Cockburn","Tom-Petty-And-The-Heartbreakers","Dan-Fogelberg","Bryan-Adams","Billy-Joel","Julian-Lennon","Miami-Sound-Machine","Level-42","Def-Leppard","Tom-Petty","Johnny-Gill","Divinyls","Mr-Big","Michael-Jackson","Elton-John","Elton-John","Brandy","Joe","Voices-Of-Theory","Tyrese","Sonique","Case","Shakira","Daniel-Bedingfield","R-Kelly","Coldplay","The-All-American-Rejects","Lloyd","Katy-Perry","Flo-Rida","The-Black-Eyed-Peas","CeeLo-Green","Drake-Featuring-Rihanna","J-Cole-Featuring-Miguel","Rixton","Flo-Rida-Featuring-Sage-The-Gemini-Lookas","Drake","Khalid","Cardi-B","Tyler-The-Creator","Trevor-Daniel","J-Cole-21-Savage-Morray"
